FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid-25a4c101_1886049a808_-295,5334002,1101,Barbarastraße
strassennamen.fid-25a4c101_1886049a808_-294,5334002,1102,Barbarossaplatz
strassennamen.fid-25a4c101_1886049a808_-293,5334002,1103,Klausbergweg
strassennamen.fid-25a4c101_1886049a808_-292,5334002,1104,Bayernallee
strassennamen.fid-25a4c101_1886049a808_-291,5334002,1105,Kreuzertal
strassennamen.fid-25a4c101_1886049a808_-290,5334002,1106,Beeckstraße
strassennamen.fid-25a4c101_1886049a808_-28f,5334002,1107,Beethovenstraße
strassennamen.fid-25a4c101_1886049a808_-28e,5334002,1108,Merlepützweg
strassennamen.fid-25a4c101_1886049a808_-28d,5334002,1109,Beginenstraße
strassennamen.fid-25a4c101_1886049a808_-28c,5334002,1110,Moresneter Weg
strassennamen.fid-25a4c101_1886049a808_-28b,5334002,1111,Bendelstraße
strassennamen.fid-25a4c101_1886049a808_-28a,5334002,1112,Bendstraße
strassennamen.fid-25a4c101_1886049a808_-289,5334002,1113,Benediktinerstraße
strassennamen.fid-25a4c101_1886049a808_-288,5334002,1114,Oberer Backertsweg
strassennamen.fid-25a4c101_1886049a808_-287,5334002,1115,Bergdriesch
strassennamen.fid-25a4c101_1886049a808_-286,5334002,1116,Bergische Gasse
strassennamen.fid-25a4c101_1886049a808_-285,5334002,1117,Bergstraße
strassennamen.fid-25a4c101_1886049a808_-284,5334002,1118,Osterweg
strassennamen.fid-25a4c101_1886049a808_-283,5334002,1119,Kaltbachgässchen
strassennamen.fid-25a4c101_1886049a808_-282,5334002,1120,Philippionsweg
strassennamen.fid-25a4c101_1886049a808_-281,5334002,1121,Revierweg
strassennamen.fid-25a4c101_1886049a808_-280,5334002,1122,Bertholdstraße
strassennamen.fid-25a4c101_1886049a808_-27f,5334002,1123,Rotsiefweg
strassennamen.fid-25a4c101_1886049a808_-27e,5334002,1124,Beverstraße
strassennamen.fid-25a4c101_1886049a808_-27d,5334002,1125,Birkengrund
strassennamen.fid-25a4c101_1886049a808_-27c,5334002,1126,Kopernikusstraße
strassennamen.fid-25a4c101_1886049a808_-27b,5334002,1127,Hirschweg
strassennamen.fid-25a4c101_1886049a808_-27a,5334002,1128,Bischofstraße
strassennamen.fid-25a4c101_1886049a808_-279,5334002,1129,Natternweg
strassennamen.fid-25a4c101_1886049a808_-278,5334002,1131,Südweg
strassennamen.fid-25a4c101_1886049a808_-277,5334002,1133,Trappenweg
strassennamen.fid-25a4c101_1886049a808_-276,5334002,1135,Tunnelweg
strassennamen.fid-25a4c101_1886049a808_-275,5334002,1136,Blücherplatz
strassennamen.fid-25a4c101_1886049a808_-274,5334002,1137,Simpelvelder Straße
strassennamen.fid-25a4c101_1886049a808_-273,5334002,1138,Bodelschwinghstraße
strassennamen.fid-25a4c101_1886049a808_-272,5334002,1139,Vossenweg
strassennamen.fid-25a4c101_1886049a808_-271,5334002,1140,Bonifatiusweg
strassennamen.fid-25a4c101_1886049a808_-270,5334002,1142,Borchersstraße
strassennamen.fid-25a4c101_1886049a808_-26f,5334002,1150,Breslauer Straße
strassennamen.fid-25a4c101_1886049a808_-26e,5334002,1151,Buchenallee
strassennamen.fid-25a4c101_1886049a808_-26d,5334002,1152,Buchkremerstraße
strassennamen.fid-25a4c101_1886049a808_-26c,5334002,1153,Büchel
strassennamen.fid-25a4c101_1886049a808_-26b,5334002,1154,Bungert
strassennamen.fid-25a4c101_1886049a808_-26a,5334002,1155,Bunsenstraße
strassennamen.fid-25a4c101_1886049a808_-269,5334002,1156,Burggrafenstraße
strassennamen.fid-25a4c101_1886049a808_-268,5334002,1157,Brüggemannstraße
strassennamen.fid-25a4c101_1886049a808_-267,5334002,1158,Brüsseler Ring
strassennamen.fid-25a4c101_1886049a808_-266,5334002,1159,Brunssumstraße
strassennamen.fid-25a4c101_1886049a808_-265,5334002,1160,Burtscheider Straße
strassennamen.fid-25a4c101_1886049a808_-264,5334002,1161,Buschhäuserweg
strassennamen.fid-25a4c101_1886049a808_-263,5334002,1162,Buschmühle
strassennamen.fid-25a4c101_1886049a808_-262,5334002,1163,Carlasiedlung
strassennamen.fid-25a4c101_1886049a808_-261,5334002,1164,César-Franck-Straße
strassennamen.fid-25a4c101_1886049a808_-260,5334002,1165,Champierweg
strassennamen.fid-25a4c101_1886049a808_-25f,5334002,1167,Charles-de-Coster-Straße
strassennamen.fid-25a4c101_1886049a808_-25e,5334002,1168,Charlottenstraße
strassennamen.fid-25a4c101_1886049a808_-25d,5334002,1170,Chlodwigstraße
strassennamen.fid-25a4c101_1886049a808_-25c,5334002,1171,Claßenstraße
strassennamen.fid-25a4c101_1886049a808_-25b,5334002,1172,Clermontstraße
strassennamen.fid-25a4c101_1886049a808_-25a,5334002,1173,Colynshofstraße
strassennamen.fid-25a4c101_1886049a808_-259,5334002,1174,Couvenstraße
strassennamen.fid-25a4c101_1886049a808_-258,5334002,1176,Dachsbau
strassennamen.fid-25a4c101_1886049a808_-257,5334002,1178,Dahlienweg
strassennamen.fid-25a4c101_1886049a808_-256,5334002,1179,Dahmengraben
strassennamen.fid-25a4c101_1886049a808_-255,5334002,1181,Damaschkestraße
strassennamen.fid-25a4c101_1886049a808_-254,5334002,1183,Dammstraße
strassennamen.fid-25a4c101_1886049a808_-253,5334002,1184,Danziger Straße
strassennamen.fid-25a4c101_1886049a808_-252,5334002,1185,Dedolphstraße
strassennamen.fid-25a4c101_1886049a808_-251,5334002,1187,Deliusstraße
strassennamen.fid-25a4c101_1886049a808_-250,5334002,1189,Dennewartstraße
strassennamen.fid-25a4c101_1886049a808_-24f,5334002,1191,Diepenbenden
strassennamen.fid-25a4c101_1886049a808_-24e,5334002,1193,Dr.-Hahn-Straße
strassennamen.fid-25a4c101_1886049a808_-24d,5334002,1195,Dr.-Vitus-Metz-Straße
strassennamen.fid-25a4c101_1886049a808_-24c,5334002,1197,Domhof
strassennamen.fid-25a4c101_1886049a808_-24b,5334002,1199,Dresdener Straße
strassennamen.fid-25a4c101_1886049a808_-24a,5334002,1201,Driescher Gässchen
strassennamen.fid-25a4c101_1886049a808_-249,5334002,1205,Drimbornstraße
strassennamen.fid-25a4c101_1886049a808_-248,5334002,1207,Drosselweg
strassennamen.fid-25a4c101_1886049a808_-247,5334002,1209,Düppelstraße
strassennamen.fid-25a4c101_1886049a808_-246,5334002,1210,Düstergasse
strassennamen.fid-25a4c101_1886049a808_-245,5334002,1211,Düsbergweg
strassennamen.fid-25a4c101_1886049a808_-244,5334002,1212,Dunantstraße
strassennamen.fid-25a4c101_1886049a808_-243,5334002,1214,Eberburgweg
strassennamen.fid-25a4c101_1886049a808_-242,5334002,1216,Eckenberger Straße
strassennamen.fid-25a4c101_1886049a808_-241,5334002,1217,Mataréstraße
strassennamen.fid-25a4c101_1886049a808_-240,5334002,1220,Eginhardstraße
strassennamen.fid-25a4c101_1886049a808_-23f,5334002,1222,Eichendorffweg
strassennamen.fid-25a4c101_1886049a808_-23e,5334002,1224,Eichhörnchenweg
strassennamen.fid-25a4c101_1886049a808_-23d,5334002,1226,Eifelstraße
strassennamen.fid-25a4c101_1886049a808_-23c,5334002,1228,Sonnenscheinstraße
strassennamen.fid-25a4c101_1886049a808_-23b,5334002,1229,Eilfschornsteinstraße
strassennamen.fid-25a4c101_1886049a808_-23a,5334002,1231,Eintrachtstraße
strassennamen.fid-25a4c101_1886049a808_-239,5334002,1233,Eisenbahnweg
strassennamen.fid-25a4c101_1886049a808_-238,5334002,1235,Elisabethstraße
strassennamen.fid-25a4c101_1886049a808_-237,5334002,1237,Malmedyer Straße
strassennamen.fid-25a4c101_1886049a808_-236,5334002,1239,Elsa-Brändström-Straße
strassennamen.fid-25a4c101_1886049a808_-235,5334002,1240,Elsassplatz
strassennamen.fid-25a4c101_1886049a808_-234,5334002,1241,Elsassstraße
strassennamen.fid-25a4c101_1886049a808_-233,5334002,1243,Emmastraße
strassennamen.fid-25a4c101_1886049a808_-232,5334002,1245,Engelbertstraße
strassennamen.fid-25a4c101_1886049a808_-231,5334002,1247,Entenfeld
strassennamen.fid-25a4c101_1886049a808_-230,5334002,1248,Entenpfuhler Weg
strassennamen.fid-25a4c101_1886049a808_-22f,5334002,1250,Erckensstraße
strassennamen.fid-25a4c101_1886049a808_-22e,5334002,1252,Erlenweg
strassennamen.fid-25a4c101_1886049a808_-22d,5334002,1253,Eselsweg
strassennamen.fid-25a4c101_1886049a808_-22c,5334002,1258,Europadorf
strassennamen.fid-25a4c101_1886049a808_-22b,5334002,1259,Europaplatz
strassennamen.fid-25a4c101_1886049a808_-22a,5334002,1260,Eynattener Straße
strassennamen.fid-25a4c101_1886049a808_-229,5334002,1261,Feldchen
strassennamen.fid-25a4c101_1886049a808_-228,5334002,1262,Feldstraße
strassennamen.fid-25a4c101_1886049a808_-227,5334002,1264,Felix-Timmermans-Straße
strassennamen.fid-25a4c101_1886049a808_-226,5334002,1266,Fichtestraße
strassennamen.fid-25a4c101_1886049a808_-225,5334002,1267,Fichthang
strassennamen.fid-25a4c101_1886049a808_-224,5334002,1268,Fischmarkt
strassennamen.fid-25a4c101_1886049a808_-223,5334002,1270,Flandrische Straße
strassennamen.fid-25a4c101_1886049a808_-222,5334002,1272,Fliederweg
strassennamen.fid-25a4c101_1886049a808_-221,5334002,1274,Försterstraße
strassennamen.fid-25a4c101_1886049a808_-220,5334002,1276,Forster Linde
strassennamen.fid-25a4c101_1886049a808_-21f,5334002,1277,Forster Weg
strassennamen.fid-25a4c101_1886049a808_-21e,5334002,1278,Frankenberger Straße
strassennamen.fid-25a4c101_1886049a808_-21d,5334002,1279,Frankenstraße
strassennamen.fid-25a4c101_1886049a808_-21c,5334002,1280,Franziskusweg
strassennamen.fid-25a4c101_1886049a808_-21b,5334002,1281,Frans-Masereel-Straße
strassennamen.fid-25a4c101_1886049a808_-21a,5334002,1284,Freunder Weg
strassennamen.fid-25a4c101_1886049a808_-219,5334002,1286,Aretzstraße
strassennamen.fid-25a4c101_1886049a808_-218,5334002,1287,Friedlandstraße
strassennamen.fid-25a4c101_1886049a808_-217,5334002,1288,Friedrich-Ebert-Allee
strassennamen.fid-25a4c101_1886049a808_-216,5334002,1289,Friedrichstraße
strassennamen.fid-25a4c101_1886049a808_-215,5334002,1290,Friedrich-Wilhelm-Platz
strassennamen.fid-25a4c101_1886049a808_-214,5334002,1292,Friesenstraße
strassennamen.fid-25a4c101_1886049a808_-213,5334002,1294,Fringsgraben
strassennamen.fid-25a4c101_1886049a808_-212,5334002,1296,Fuchserde
strassennamen.fid-25a4c101_1886049a808_-211,5334002,1298,Gartenstraße
strassennamen.fid-25a4c101_1886049a808_-210,5334002,1299,Gasborn
strassennamen.fid-25a4c101_1886049a808_-20f,5334002,1300,Gerhart-Hauptmann-Straße
strassennamen.fid-25a4c101_1886049a808_-20e,5334002,1301,Gemmenicher Weg
strassennamen.fid-25a4c101_1886049a808_-20d,5334002,1302,Geschwister-Scholl-Straße
strassennamen.fid-25a4c101_1886049a808_-20c,5334002,1303,Schumacherstraße
strassennamen.fid-25a4c101_1886049a808_-20b,5334002,1304,Gerlachstraße
strassennamen.fid-25a4c101_1886049a808_-20a,5334002,1305,Glatzer Straße
strassennamen.fid-25a4c101_1886049a808_-209,5334002,1306,Giselastraße
strassennamen.fid-25a4c101_1886049a808_-208,5334002,1307,Gleiwitzer Straße
strassennamen.fid-25a4c101_1886049a808_-207,5334002,1310,Prager Ring
strassennamen.fid-25a4c101_1886049a808_-206,5334002,1311,Goethestraße
strassennamen.fid-25a4c101_1886049a808_-205,5334002,1313,Goldbachstraße
strassennamen.fid-25a4c101_1886049a808_-204,5334002,1314,Goldberg
strassennamen.fid-25a4c101_1886049a808_-203,5334002,1315,Gottfriedstraße
strassennamen.fid-25a4c101_1886049a808_-202,5334002,1318,Gut-Dämme-Straße
strassennamen.fid-25a4c101_1886049a808_-201,5334002,1319,Grauenhofer Weg
strassennamen.fid-25a4c101_1886049a808_-200,5334002,1320,Gustav-Freytag-Straße
strassennamen.fid-25a4c101_1886049a808_-1ff,5334002,1321,Gregorstraße
strassennamen.fid-25a4c101_1886049a808_-1fe,5334002,1323,Grindelweg
strassennamen.fid-25a4c101_1886049a808_-1fd,5334002,1324,Gulpener Straße
strassennamen.fid-25a4c101_1886049a808_-1fc,5334002,1325,Großkölnstraße
strassennamen.fid-25a4c101_1886049a808_-1fb,5334002,1327,Grüneck
strassennamen.fid-25a4c101_1886049a808_-1fa,5334002,1328,Grüner Winkel
strassennamen.fid-25a4c101_1886049a808_-1f9,5334002,1329,Gut Steeg
strassennamen.fid-25a4c101_1886049a808_-1f8,5334002,1330,Guaitastraße
strassennamen.fid-25a4c101_1886049a808_-1f7,5334002,1332,Habsburgerallee
strassennamen.fid-25a4c101_1886049a808_-1f6,5334002,1334,Hackländerstraße
strassennamen.fid-25a4c101_1886049a808_-1f5,5334002,1336,Händelstraße
strassennamen.fid-25a4c101_1886049a808_-1f4,5334002,1338,Hainbuchenstraße
strassennamen.fid-25a4c101_1886049a808_-1f3,5334002,1340,Hammerweg
strassennamen.fid-25a4c101_1886049a808_-1f2,5334002,1342,Hanbrucher Straße
strassennamen.fid-25a4c101_1886049a808_-1f1,5334002,1343,Hanbrucher Weg
strassennamen.fid-25a4c101_1886049a808_-1f0,5334002,1345,Hangstraße
strassennamen.fid-25a4c101_1886049a808_-1ef,5334002,1347,Hansemannplatz
strassennamen.fid-25a4c101_1886049a808_-1ee,5334002,1349,Harscampstraße
strassennamen.fid-25a4c101_1886049a808_-1ed,5334002,1351,Hartmannstraße
strassennamen.fid-25a4c101_1886049a808_-1ec,5334002,1353,Haselsteig
strassennamen.fid-25a4c101_1886049a808_-1eb,5334002,1354,Hasencleverstraße
strassennamen.fid-25a4c101_1886049a808_-1ea,5334002,1355,Hasenfeld
strassennamen.fid-25a4c101_1886049a808_-1e9,5334002,1357,Hasselholzer Weg
strassennamen.fid-25a4c101_1886049a808_-1e8,5334002,1358,Hauseter Weg
strassennamen.fid-25a4c101_1886049a808_-1e7,5334002,1360,Heerlener Straße
strassennamen.fid-25a4c101_1886049a808_-1e6,5334002,1361,Heidweg
strassennamen.fid-25a4c101_1886049a808_-1e5,5334002,1363,Spaakallee
strassennamen.fid-25a4c101_1886049a808_-1e4,5334002,1365,Hein-Görgen-Straße
strassennamen.fid-25a4c101_1886049a808_-1e3,5334002,1366,Hein-Janssen-Straße
strassennamen.fid-25a4c101_1886049a808_-1e2,5334002,1368,Heinzenstraße
strassennamen.fid-25a4c101_1886049a808_-1e1,5334002,1370,Heißbergstraße
strassennamen.fid-25a4c101_1886049a808_-1e0,5334002,1372,Henricistraße
strassennamen.fid-25a4c101_1886049a808_-1df,5334002,1374,Herbartstraße
strassennamen.fid-25a4c101_1886049a808_-1de,5334002,1375,Hergenrather Weg
strassennamen.fid-25a4c101_1886049a808_-1dd,5334002,1376,Hermann-Sudermann-Straße
strassennamen.fid-25a4c101_1886049a808_-1dc,5334002,1377,Hermann-Löns-Allee
strassennamen.fid-25a4c101_1886049a808_-1db,5334002,1378,Hermannstraße
strassennamen.fid-25a4c101_1886049a808_-1da,5334002,1379,Herstaler Straße
strassennamen.fid-25a4c101_1886049a808_-1d9,5334002,1380,Herzogstraße
strassennamen.fid-25a4c101_1886049a808_-1d8,5334002,1381,Hickelweg
strassennamen.fid-25a4c101_1886049a808_-1d7,5334002,1383,Hirschgraben
strassennamen.fid-25a4c101_1886049a808_-1d6,5334002,1386,Hitfelder Straße
strassennamen.fid-25a4c101_1886049a808_-1d5,5334002,1388,Höfchensweg
strassennamen.fid-25a4c101_1886049a808_-1d4,5334002,1389,Höhenweg
strassennamen.fid-25a4c101_1886049a808_-1d3,5334002,1390,Hörnhang
strassennamen.fid-25a4c101_1886049a808_-1d2,5334002,1391,Hörnstieg
strassennamen.fid-25a4c101_1886049a808_-1d1,5334002,1393,Hof
strassennamen.fid-25a4c101_1886049a808_-1d0,5334002,1396,Hohenzollernplatz
strassennamen.fid-25a4c101_1886049a808_-1cf,5334002,1398,Holsteinstraße
strassennamen.fid-25a4c101_1886049a808_-1ce,5334002,1399,Holzgraben
strassennamen.fid-25a4c101_1886049a808_-1cd,5334002,1401,Horngasse
strassennamen.fid-25a4c101_1886049a808_-1cc,5334002,1403,Hubertusplatz
strassennamen.fid-25a4c101_1886049a808_-1cb,5334002,1404,Hubertusstraße
strassennamen.fid-25a4c101_1886049a808_-1ca,5334002,1406,Hühnermarkt
strassennamen.fid-25a4c101_1886049a808_-1c9,5334002,1408,Hünefeldstraße
strassennamen.fid-25a4c101_1886049a808_-1c8,5334002,1410,Hüttenstraße
strassennamen.fid-25a4c101_1886049a808_-1c7,5334002,1412,Im Brockenfeld
strassennamen.fid-25a4c101_1886049a808_-1c6,5334002,1415,Im Gillesbachtal
strassennamen.fid-25a4c101_1886049a808_-1c5,5334002,1416,Im Grüntal
strassennamen.fid-25a4c101_1886049a808_-1c4,5334002,1418,Im Johannistal
strassennamen.fid-25a4c101_1886049a808_-1c3,5334002,1421,Im Mariental
strassennamen.fid-25a4c101_1886049a808_-1c2,5334002,1422,Coudenhovestraße
strassennamen.fid-25a4c101_1886049a808_-1c1,5334002,1423,In den Heimgärten
strassennamen.fid-25a4c101_1886049a808_-1c0,5334002,1424,In den Küpperbenden
strassennamen.fid-25a4c101_1886049a808_-1bf,5334002,1425,In den Zwanzigmorgen
strassennamen.fid-25a4c101_1886049a808_-1be,5334002,1426,Krantzstraße
strassennamen.fid-25a4c101_1886049a808_-1bd,5334002,1428,Intzestraße
strassennamen.fid-25a4c101_1886049a808_-1bc,5334002,1430,Jägerstraße
strassennamen.fid-25a4c101_1886049a808_-1bb,5334002,1432,Jahnplatz
strassennamen.fid-25a4c101_1886049a808_-1ba,5334002,1433,Jahnstraße
strassennamen.fid-25a4c101_1886049a808_-1b9,5334002,1434,Jakobsplatz
strassennamen.fid-25a4c101_1886049a808_-1b8,5334002,1437,Jean-Lejeune-Straße
strassennamen.fid-25a4c101_1886049a808_-1b7,5334002,1439,Jesuitenstraße
strassennamen.fid-25a4c101_1886049a808_-1b6,5334002,1440,Johannes-von-den-Driesch-Weg
strassennamen.fid-25a4c101_1886049a808_-1b5,5334002,1441,Johanniterstraße
strassennamen.fid-25a4c101_1886049a808_-1b4,5334002,1442,Johannstraße
strassennamen.fid-25a4c101_1886049a808_-1b3,5334002,1444,Drei-Rosen-Straße
strassennamen.fid-25a4c101_1886049a808_-1b2,5334002,1445,Noppiusstraße
strassennamen.fid-25a4c101_1886049a808_-1b1,5334002,1447,Judengasse
strassennamen.fid-25a4c101_1886049a808_-1b0,5334002,1449,Junkerstraße
strassennamen.fid-25a4c101_1886049a808_-1af,5334002,1450,Jupp-Müller-Straße
strassennamen.fid-25a4c101_1886049a808_-1ae,5334002,1451,Juttastraße
strassennamen.fid-25a4c101_1886049a808_-1ad,5334002,1453,Kaiser-Friedrich-Allee
strassennamen.fid-25a4c101_1886049a808_-1ac,5334002,1455,Kaiserplatz
strassennamen.fid-25a4c101_1886049a808_-1ab,5334002,1456,Goerdelerstraße
strassennamen.fid-25a4c101_1886049a808_-1aa,5334002,1457,Kalverbenden
strassennamen.fid-25a4c101_1886049a808_-1a9,5334002,1458,Kamper Straße
strassennamen.fid-25a4c101_1886049a808_-1a8,5334002,1459,Kannegießerstraße
strassennamen.fid-25a4c101_1886049a808_-1a7,5334002,1460,Kantstraße
strassennamen.fid-25a4c101_1886049a808_-1a6,5334002,1461,Kapuzinergasse
strassennamen.fid-25a4c101_1886049a808_-1a5,5334002,1462,Kapellenstraße
strassennamen.fid-25a4c101_1886049a808_-1a4,5334002,1464,Kapitelstraße
strassennamen.fid-25a4c101_1886049a808_-1a3,5334002,1466,Kapuzinergraben
strassennamen.fid-25a4c101_1886049a808_-1a2,5334002,1468,Kardinalstraße
strassennamen.fid-25a4c101_1886049a808_-1a1,5334002,1470,Karl-Marx-Allee
strassennamen.fid-25a4c101_1886049a808_-1a0,5334002,1471,Karlsburgweg
strassennamen.fid-25a4c101_1886049a808_-19f,5334002,1472,Karlsgraben
strassennamen.fid-25a4c101_1886049a808_-19e,5334002,1473,Karlshöher Hochweg
strassennamen.fid-25a4c101_1886049a808_-19d,5334002,1474,Karlshöher Talweg
strassennamen.fid-25a4c101_1886049a808_-19c,5334002,1475,Haßlerstraße
